"sample","buffa.score"
"003a33f3-3658-4e60-967c-dc97b83c105c",21
"0133b9e4-884c-45f8-8bd0-e796d7058012",3
"03f33c10-915f-4523-8871-1482aaff3549",5
"04303348-e957-474f-9667-0f36ee8cbbf6",-17
"0494838d-60cc-4bb8-8edd-f53f11238e51",-11
"069ded62-6c9d-462c-8ae7-dde7437e5d7d",7
"06a08433-a734-4fb6-b300-e4bb50209bca",-27
"06f89bc6-2e97-4bfa-989c-4934e7f28f05",-3
"07458e60-4784-4ba5-963c-a9acb12444e0",-3
"085f785f-2814-4a18-98df-972590b6f709",-9
"08c7a80d-8171-445e-ba07-d3fd28207d72",-17
"09414789-ca82-4bf6-bd19-e3b5f3d03147",1
"096fd4f5-1110-43a1-a3c6-0d9477af2c6d",-15
"098f61ae-a7f9-42d4-9e02-7a035c498d32",-3
"0a595371-0a31-47af-8ab5-9e06657f8e5e",-15
"0aae20cd-2601-4c12-a00f-d5f8bad66be5",15
"0aeb1520-4cbd-4813-8617-42cd30e0380b",-13
"0b856563-ca19-4b37-8a62-075e3e87e737",-17
"0bd21617-3015-48ca-9446-93f72be95017",-3
"0bd6bed4-4187-44c5-affc-2b3f5d5c7e67",3
"0be3caed-1b5b-4d6f-b0ad-a4cacd485e2d",-19
"0bf43782-fc2b-4a3a-ac9b-05e326020581",25
"0e4e0745-9574-4c33-aa7a-61421d007dab",5
"0e4fe560-21c7-40d2-9823-04097b42e78b",7
"0eb11f4f-e9ae-464b-a8aa-61ece9300a23",-15
"0ef54a23-f0e4-4f7b-83a1-d2923c638922",-21
"0f9baaaf-6a08-45aa-a260-c17230f1e453",-19
"10e8e323-cf3b-434c-859a-204b536c5458",-13
"11035726-5020-4883-b524-767cd6cde005",7
"1111cefb-edb0-4b87-ab49-3c22c4f896aa",29
"11274e57-44c8-4933-8ecf-37cc1be5b129",7
"11432de6-8437-4cdb-b8fe-c247221122e3",-1
"11547448-a38b-40ec-861a-6c54a60e740c",-9
"1291a345-5d82-4f7b-b96f-aacd5fe946b6",29
"13ea889a-a024-44ca-9dea-5f4f6e9588b6",-21
"1428c13b-e812-467b-af45-860e6a83432d",-35
"143c0b64-41e7-4fc4-92a6-3d0ee503a097",-31
"154e7e05-be33-45cb-bc49-f242644e2070",-7
"171f45e7-83e7-4286-970a-0dafa6f46d8a",-5
"172e44c9-668b-4c07-b318-5a56fdbb6417",-13
"17f69467-be9f-482b-a078-8f2cd3c4019d",3
"18c458aa-7f03-435d-9408-81d1c3e65c29",21
"197d966c-8951-4a7b-a2ef-1fb7aec545a1",-21
"1992a92f-009b-4ea8-ac84-4d0ac2169761",-25
"19a4b668-18fc-421b-a360-73942643f780",-15
"19b31950-9b4f-482f-bcc4-95d63921f41b",-11
"1a292c1a-5d71-4885-aebc-7843dc674ddc",-13
"1adecb22-fd42-45d7-8501-64f78bdb80a3",27
"1bb12c3e-00e3-414e-8633-4c890cf1f51c",7
"1bf35f7e-a8a3-481d-93ca-886d4cf4d08d",1
"1c471e91-2e80-4d03-adf8-ebafbf41358f",7
"1c840420-280d-4746-b475-eba70c2caed6",15
"1ca5aa1c-09d2-4ca8-8231-bea6d259951f",-15
"1cee979e-57dd-4314-aff4-fe343598596a",-7
"1d0aeb08-a5c2-41b8-bae4-35a3b533e0b2",31
"1e395cd1-9ad2-40f4-8fe6-df17d97d10d0",3
"1f0eec7b-3a21-4889-9458-b55f7d9de8f4",3
"20065f98-f2c0-4d3e-a7a7-bf6dc9dc856a",-9
"20dac8ef-52ee-45cc-88aa-c3a37316a503",-23
"2174931d-39b8-4d2c-b646-8e299412b82f",-17
"21ea6561-2bd1-4a3d-ae70-3c504530bb26",-13
"221aad7a-3ef4-479f-8467-059b011b5e0a",19
"229ae16b-d25b-4d55-a177-a3c1cefc01ac",15
"22bd5396-a6ba-47db-bc0d-24f59e210ff9",-29
"22f37606-6bcf-455f-9d7f-e7c15ec04d13",3
"23c768dc-75f5-4afb-af7d-8233bf239420",13
"2404eae5-9d7c-4cd1-9788-621ef9b296ae",11
"24f94b1c-b769-4674-9357-251aa685e925",-19
"2529fdb9-59e1-446d-88d8-195a8a20c700",-15
"25419cb4-972e-41ef-ae52-c74a432f43b4",9
"2596084c-897f-4947-b4da-837f3dc116ec",-15
"259fba1b-7012-40dc-8508-2ac8fdf9993c",23
"25b77e9d-9c9d-4607-8a22-558ced994415",-19
"26033c22-7119-4587-9eab-fc033328e6d0",21
"2702aab0-0336-42cd-b46b-6bf5b906803d",-11
"27d9dbe5-71de-4dac-8a64-cbda6022c44d",-23
"27fea04d-8345-4814-8fe1-83f8fa0e1885",-7
"282a88ab-9137-4599-b31b-67f79766490b",-9
"28837d04-2c5b-4421-9da9-9e8e9e8bf24d",-3
"28d2f6bb-c09c-4e4b-9c20-bb7f36dfb430",-7
"291edbab-0d0d-4022-b366-65b69e9339d7",9
"2921a8d9-71fe-4bb3-ac08-bed30167d230",-23
"2a06816e-ae0e-4ac1-b88e-cb8a88607f2e",25
"2b61c836-d952-4a68-9027-ac17ec4ce51c",37
"2b969a8a-4f10-468f-9fa6-28f53bcce267",9
"2c1a8df8-1333-4a09-913d-8f79636db9c6",33
"2daa0903-a384-4b30-9787-887ea2032138",-35
"2e1ab9e9-f3db-44b9-a061-ba1a61583692",-9
"2e83f03c-9017-4239-81d6-21e5a02c0877",-29
"2faa5e01-e664-47cc-85db-4ab07d9b5595",31
"3018e36f-6e37-49f2-889e-6bdcc6b75759",-27
"30405f4e-a8ae-4ad8-900a-cc031f63436e",5
"3048300b-bd01-4af3-b411-7460e1daaca6",7
"306adcc1-a1bd-4d44-b13b-395192e6298d",7
"30ecedaf-0e5a-49db-bb51-5c980439b28b",13
"31313b9a-e8b8-4ac4-b58c-f7528cb10dd9",29
"313b5e99-d3a3-4f58-abb9-cc3d53e752ca",7
"3153d274-f3ba-4b31-9283-84e140e6b320",5
"316f7b32-c096-4d0d-93a2-88679704a183",-7
"317f3ecd-6d53-4831-aace-424f3b191fa4",-43
"31b52a11-cc5b-4734-b989-bda5106c54ae",-9
"32bceee4-ddc7-44da-85ec-d1e6afafadbb",3
"32fcbbde-985f-4ce5-94f7-82eac34f71ed",-3
"3416f66b-9155-498e-a986-635865801c6c",-5
"3525f19b-e6a4-4c68-976f-c5a4263f2a8e",29
"35b863ac-5fbd-4608-9989-0fcad57aa537",-7
"35e3186a-220c-4298-ab22-9b2ae0e196fb",-25
"35ee7b03-22ce-4eab-8a50-de7ada08e9ab",21
"3616da5c-996d-4d08-9c20-7092ed877406",-13
"3628b955-b59d-4575-b8b0-0112ab01c1f6",-3
"37b148fa-ac82-4906-baa3-608f2fa4f145",11
"381ec1ca-3c1c-4ac7-a290-d23454263b20",-15
"38a423a2-ed21-4d47-8049-014fe3df3674",7
"38c32579-953b-436b-aaa0-bebe2fd13236",-9
"39176327-d4f5-4f46-be77-c9332849d842",37
"393898c7-cbc4-4eef-b458-67f899bdf0b3",-5
"3b4335ad-fff0-4420-bc59-1a67b6adb2cc",-39
"3b548e7d-6ecf-4b2d-befc-ea5940c05874",3
"3bba5749-0c10-4aa9-87a2-992abb577478",-7
"3bfa40c8-978a-450f-bcf5-a5585cc9e0fd",5
"3d0fd49d-0675-45aa-9b4b-66a078c5b6c4",35
"3d4110d3-92fe-403e-94f4-7cbd54931d9e",23
"3d7d4632-9c68-4269-8b54-44af2b4324b1",21
"3dfa9114-584c-4d23-989a-c16ee5adc0b9",5
"3e8b13af-953b-47af-aea6-2431da04405a",-1
"3e9308ea-6978-467a-b795-19ffd4eb223e",-11
"3f11bf82-b4b0-49a1-958f-855e7f3032a8",-9
"3ffd5337-f97c-4d54-888b-3704158d9ffe",23
"4076a326-58ed-474a-96de-6dc21f061352",7
"40c375ae-e9eb-42f2-bd8c-e122352d1e67",-7
"412ace6b-c615-43e2-b8db-59f85568e15e",1
"434759e8-712f-4578-bcfa-346675c2b99f",-9
"437b053e-2efb-4d86-8d97-6b662d482cdd",19
"43897c39-4597-4974-a881-4fb58bd76755",9
"44124510-41dd-46cb-a67d-b3eecc230115",-9
"443cdf70-d729-4765-b4e8-bc97f8721d85",-15
"44579dec-3df5-4514-8ca3-13a2a4c6e788",-27
"44c12e8c-395d-41d4-80f8-021ebb668f17",-7
"451f2ca1-7ad6-46b3-b3b9-2c9b0c347fd3",21
"454f1fcf-bddc-4589-92c9-25004c1d7be6",29
"459c41e9-2285-43ac-9244-f68dd12dec16",-15
"470e814e-82c5-41c3-a644-fe57af017bf6",-31
"4757564b-c12f-4f8b-b7b7-ae377fe309d0",15
"47be90b7-021b-4a5d-9fcc-1795d1da2e07",-9
"48d49e35-2ac8-4ce5-aea9-053961267ea3",17
"49f8e4a0-262d-42dd-bfa4-7ed46316e2ed",19
